Date Last Researched,Country 1,Country 2,Project Name,Project Name (local lang/script),Other name(s),Capacity (MW),Binational,Country 1 Capacity (MW),Country 2 Capacity (MW),Turbines,Status,Complex,Start Year,Retired Year,Owner,Owner Name (local lang/script),Operator,Operator Name (local lang/script),Technology Type,River / Watercourse,Latitude,Longitude,Location Accuracy,City 1,Local Area 1,Major Area 1,State/Province 1,Subregion 1,Region 1,City 2,Local Area 2,Major Area 2,State/Province 2,Subregion 2,Region 2,GEM location ID,GEM unit ID,Wiki URL
19-12-2023,Afghanistan,,Baghdara hydroelectric plant,,,227,No,227,0,4,announced,,,,Ministry of Energy and Water Afghanistan,,,,conventional storage,Panjshir River,33.768,66.2385,approximate,Baghdara Village,Abbottabad District,Hazara Division,Khyber Pakhtunkhwa Province,Southern Asia,Asia,,,,,,,L600001,G604221,https://gem.wiki/Baghdara_hydroelectric_plant
19-12-2023,Afghanistan,,Kajaki 2 hydroelectric plant,,"Kajaki Dam Phase II, Kajaki Addition",100,No,100,0,3,operating,,2022,,Da Afghanistan Breshna Sherkat (DABS),,,,conventional storage,Helmand River,32.3226,65.1184,exact,,Kajaki,,Helmand Province,Southern Asia,Asia,,,,,,,L604252,G604480,https://gem.wiki/Kajaki_2_hydroelectric_plant
27-01-2023,Afghanistan,,Naghlu hydroelectric plant,,Naghlo hydroelectric plant,94,No,94,0,4 x 23.5 MW,operating,,1967,,Ministry of Energy and Water Afghanistan,,,,conventional storage,"Panjshir River, Kabul River",34.6414,69.7171,exact,Surobi,Surobi,,Kabul Province,Southern Asia,Asia,,,,,,,L600002,G600002,https://gem.wiki/Naghlu_hydroelectric_plant
19-12-2023,Afghanistan,,Sarobi 2 hydroelectric plant,,,180,No,180,0,,announced,,,,Ministry of Energy and Water Afghanistan,,,,unknown,Kabul River,34.5894,69.7608,approximate,Surobi Town,Sarubi Capital,Sarubi District,Kabul Province,Southern Asia,Asia,,,,,,,L600003,G604785,https://gem.wiki/Sarobi_2_hydroelectric_plant
06-08-2022,Albania,,Fierza hydroelectric plant,,,500,No,500,0,4,operating,,1980,,KESH,,,,conventional storage,,42.2514,20.0431,exact,,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600004,G600004,https://gem.wiki/Fierza_hydroelectric_plant
01-09-2023,Albania,,Kalivaci hydroelectric plant,,Kalivaç,108,No,108,0,3,cancelled,,,,,,,,conventional storage,,40.4006,19.7988,exact,,Gjirokastër County,,Southern Albania,Southern Europe,Europe,,,,,,,L600005,G604491,https://gem.wiki/Kalivaci_hydroelectric_plant
06-08-2022,Albania,,Komani hydroelectric plant,,Komani; Komang,600,No,600,0,4,operating,,1985,,KESH,,,,conventional storage,,42.1033,19.8224,exact,Temal,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600006,G600006,https://gem.wiki/Komani_hydroelectric_plant
06-08-2022,Albania,,Moglicë hydroelectric plant,,Moglice (Graboves),197,No,197,0,2,operating,,2020,,Statkraft AS,,Statkraft AS,,conventional storage,Devoll River,40.6928,20.4406,exact,,Korçë County,,Southern Albania,Southern Europe,Europe,,,,,,,L600007,G600007,https://gem.wiki/Moglicë_hydroelectric_plant
01-09-2023,Albania,,Poçem hydroelectric plant,,,102,No,102,0,,cancelled,,,,,,,,conventional storage,,40.3515,19.973,exact,,Gjirokastër County,,Southern Albania,Southern Europe,Europe,,,,,,,L600008,G604735,https://gem.wiki/Poçem_hydroelectric_plant
01-09-2023,Albania,,Shala hydroelectric plant,,Shala New,128,No,128,0,,pre-construction,,,,,,,,unknown,,42.2829,19.7992,exact,Shalë,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600009,G600009,https://gem.wiki/Shala_hydroelectric_plant
01-09-2023,Albania,,Skavica hydroelectric plant,,,210,No,210,0,,pre-construction,,,,KESH,,,,conventional storage,,41.9433,20.3653,exact,,Kukës County,,Northern Albania,Southern Europe,Europe,,,,,,,L600010,G600010,https://gem.wiki/Skavica_hydroelectric_plant
06-08-2022,Albania,,Vau i Dejës hydroelectric plant,,Vau i Dejes; Vau i Dijes,250,No,250,0,5,operating,,1973,,KESH,,,,conventional storage,,42.0136,19.6358,exact,,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600011,G600011,https://gem.wiki/Vau_i_Dejës_hydroelectric_plant
